,prev2,prev1,WORD_ORC,next1,next2,WORD_TRUE,SAME
628,on,february,va,to,the,ru,True
629,february,va,to,the,senator,to,True
630,va,to,the,senator,upgradlng,the,True
631,to,the,senator,upgradlng,commerclal,senator,True
632,the,senator,upgradlng,commerclal,vsmg,upgrading,False
633,senator,upgradlng,commerclal,vsmg,pndustry,commercial,False
634,upgradlng,commerclal,vsmg,pndustry,advlsors,using,False
635,commerclal,vsmg,pndustry,advlsors,durlng,industry,False
636,vsmg,pndustry,advlsors,durlng,trade,advisors,True
637,pndustry,advlsors,durlng,trade,easlng,during,False
638,advlsors,durlng,trade,easlng,restralnts,trade,True
639,durlng,trade,easlng,restralnts,on,easing,False
640,trade,easlng,restralnts,on,bank,restraints,False
641,easlng,restralnts,on,bank,export,on,True
642,restralnts,on,bank,export,endlng,bank,True
643,on,bank,export,endlng,freight,export,True
644,bank,export,endlng,freight,rate,ending,False
645,export,endlng,freight,rate,permlttlng,freight,True
646,endlng,freight,rate,permlttlng,more,rate,True
647,freight,rate,permlttlng,more,actlvltles,permitting,True
648,rate,permlttlng,more,actlvltles,en,more,True
649,permlttlng,more,actlvltles,en,forelgn,activities,False
650,more,actlvltles,en,forelgn,trade,in,True
651,actlvltles,en,forelgn,trade,easlng,foreign,False
652,en,forelgn,trade,easlng,access,trade,True
653,forelgn,trade,easlng,access,to,easing,False
654,trade,easlng,access,to,drawback,access,True
655,easlng,access,to,drawback,endlng,to,True
656,access,to,drawback,endlng,forelgn,drawback,True
657,to,drawback,endlng,forelgn,threat,ending,False
658,drawback,endlng,forelgn,threat,nnvestment,foreign,False
659,endlng,forelgn,threat,nnvestment,and,direct,True
660,forelgn,threat,nnvestment,and,on,investment,False
661,threat,nnvestment,and,on,quallfylng,and,True
662,nnvestment,and,on,quallfylng,all,on,True
663,and,on,quallfylng,all,export,qualifying,False
664,on,quallfylng,all,export,earnlngs,all,True
665,quallfylng,all,export,earnlngs,for,export,True
666,all,export,earnlngs,for,ursc,earnings,False
667,export,earnlngs,for,ursc,cmaddoze,for,True
668,earnlngs,for,ursc,cmaddoze,k,disc,True
669,for,ursc,cmaddoze,k,two,cmadopdj,False
670,ursc,cmaddoze,k,two,speclflc,l,False
671,cmaddoze,k,two,speclflc,recommendatlons,two,True
672,k,two,speclflc,recommendatlons,were,specific,False
673,two,speclflc,recommendatlons,were,advlsors,recommendations,False
674,speclflc,recommendatlons,were,advlsors,sn,were,True
675,recommendatlons,were,advlsors,sn,jnternatlonal,advisors,True
676,were,advlsors,sn,jnternatlonal,trade,in,False
677,advlsors,sn,jnternatlonal,trade,of,international,False
678,sn,jnternatlonal,trade,of,the,trade,True
679,jnternatlonal,trade,of,the,merchant,of,True
680,trade,of,the,merchant,marlne,the,True
681,of,the,merchant,marlne,as,merchant,True
682,the,merchant,marlne,as,a,marine,False
683,merchant,marlne,as,a,means,as,True
684,marlne,as,a,means,of,a,True
685,as,a,means,of,endlng,means,True
686,a,means,of,endlng,freight,of,True
687,means,of,endlng,freight,rate,ending,False
688,of,endlng,freight,rate,the,freight,True
689,endlng,freight,rate,the,toplc,rate,True
690,freight,rate,the,toplc,at,the,True
691,rate,the,toplc,at,a,topic,False
692,the,toplc,at,a,meetlng,at,True
693,toplc,at,a,meetlng,on,a,True
694,at,a,meetlng,on,february,meeting,False
695,a,meetlng,on,february,zr,on,True
696,meetlng,on,february,zr,at,february,True
697,on,february,zr,at,mca,gk,False
698,february,zr,at,mca,cernlng,at,True
699,zr,at,mca,cernlng,phthalate,mca,True
700,at,mca,cernlng,phthalate,extractlon,cerning,False
701,mca,cernlng,phthalate,extractlon,by,phthalate,True
702,cernlng,phthalate,extractlon,by,blood,extraction,True
703,phthalate,extractlon,by,blood,when,by,True
704,extractlon,by,blood,when,stored,blood,True
705,by,blood,when,stored,yn,when,True
706,blood,when,stored,yn,bags,stored,True
707,when,stored,yn,bags,made,in,False
708,stored,yn,bags,made,of,bags,True
709,yn,bags,made,of,blrth,made,True
710,bags,made,of,blrth,defects,of,True
711,made,of,blrth,defects,gn,birth,True
712,of,blrth,defects,gn,rats,defects,True
713,blrth,defects,gn,rats,when,in,False
714,defects,gn,rats,when,pnjected,rats,True
715,gn,rats,when,pnjected,mm,when,True
716,rats,when,pnjected,mm,types,injected,False
717,when,pnjected,mm,types,of,with,True
718,pnjected,mm,types,of,phthalate,types,True
719,mm,types,of,phthalate,esters,of,True
720,types,of,phthalate,esters,used,phthalate,True
721,of,phthalate,esters,used,as,esters,True
722,phthalate,esters,used,as,plastlclzers,used,True
723,esters,used,as,plastlclzers,kn,as,True
724,used,as,plastlclzers,kn,partlcularly,plasticizers,False
725,as,plastlclzers,kn,partlcularly,polyvlnyl,in,False
726,plastlclzers,kn,partlcularly,polyvlnyl,they,particularly,False
727,kn,partlcularly,polyvlnyl,they,wlsh,polyvinyl,False
728,partlcularly,polyvlnyl,they,wlsh,to,they,True
729,polyvlnyl,they,wlsh,to,conslder,wish,True
730,they,wlsh,to,conslder,the,to,True
731,wlsh,to,conslder,the,development,consider,True
732,to,conslder,the,development,of,the,True
733,conslder,the,development,of,a,development,True
734,the,development,of,a,technlcal,of,True
735,development,of,a,technlcal,and,a,True
736,of,a,technlcal,and,eight,technical,True
737,a,technlcal,and,eight,panles,and,True
738,technlcal,and,eight,panles,volunteered,eight,True
739,and,eight,panles,volunteered,representatlves,panies,True
740,eight,panles,volunteered,representatlves,as,volunteered,True
741,panles,volunteered,representatlves,as,an,representatives,False
742,volunteered,representatlves,as,an,ad,as,True
743,representatlves,as,an,ad,hoc,an,True
744,as,an,ad,hoc,plannlng,ad,True
745,an,ad,hoc,plannlng,group,hoc,True
746,ad,hoc,plannlng,group,on,planning,False
747,hoc,plannlng,group,on,phthalate,group,True
748,plannlng,group,on,phthalate,hlth,on,True
749,group,on,phthalate,hlth,the,phthalate,True
750,on,phthalate,hlth,the,understandlng,with,False
751,phthalate,hlth,the,understandlng,that,the,True
752,hlth,the,understandlng,that,any,understanding,False
753,the,understandlng,that,any,program,that,True
754,understandlng,that,any,program,proposal,any,True
755,that,any,program,proposal,rnvolvkng,program,True
756,any,program,proposal,rnvolvkng,mca,proposal,True
757,program,proposal,rnvolvkng,mca,admlnlstratlon,involving,False
758,proposal,rnvolvkng,mca,admlnlstratlon,would,mca,True
759,rnvolvkng,mca,admlnlstratlon,would,requlre,administration,False
760,mca,admlnlstratlon,would,requlre,your,would,True
761,admlnlstratlon,would,requlre,your,the,require,False
762,would,requlre,your,the,and,your,True
763,requlre,your,the,and,to,the,True
764,your,the,and,to,provlde,and,True
765,the,and,to,provlde,a,to,True
766,and,to,provlde,a,consultatlon,provide,False
767,to,provlde,a,consultatlon,center,a,True
768,provlde,a,consultatlon,center,for,consultation,False
769,a,consultatlon,center,for,j,center,True
770,consultatlon,center,for,j,funded,for,True
771,center,for,j,funded,by,g,False
772,for,j,funded,by,contrlbutlons,funded,True
773,j,funded,by,contrlbutlons,from,by,True
774,funded,by,contrlbutlons,from,sp,contributions,False
775,by,contrlbutlons,from,sp,polyvlnyl,from,True
776,contrlbutlons,from,sp,polyvlnyl,chlorlde,hp,True
777,from,sp,polyvlnyl,chlorlde,vestlgatlon,polyvinyl,False
778,sp,polyvlnyl,chlorlde,vestlgatlon,of,chloride,False
779,polyvlnyl,chlorlde,vestlgatlon,of,the,vestigation,False
780,chlorlde,vestlgatlon,of,the,and,of,True
781,vestlgatlon,of,the,and,andustrlal,the,True
782,of,the,and,andustrlal,hyglene,and,True
783,the,and,andustrlal,hyglene,aspects,industrial,False
784,and,andustrlal,hyglene,aspects,of,hygiene,False
785,andustrlal,hyglene,aspects,of,thls,aspects,True
786,hyglene,aspects,of,thls,syndrome,of,True
787,aspects,of,thls,syndrome,among,this,True
788,of,thls,syndrome,among,polyvlnyl,syndrome,True
789,thls,syndrome,among,polyvlnyl,chlorlde,among,True
790,syndrome,among,polyvlnyl,chlorlde,productlon,polyvinyl,False
791,among,polyvlnyl,chlorlde,productlon,concernlng,chloride,False
792,polyvlnyl,chlorlde,productlon,concernlng,the,production,False
793,chlorlde,productlon,concernlng,the,deslgn,concerning,False
794,productlon,concernlng,the,deslgn,and,the,True
795,concernlng,the,deslgn,and,constructlon,design,False
796,the,deslgn,and,constructlon,of,and,True
797,deslgn,and,constructlon,of,vessels,construction,False
798,and,constructlon,of,vessels,and,of,True
799,constructlon,of,vessels,and,the,vessels,True
800,of,vessels,and,the,operatlon,and,True
801,vessels,and,the,operatlon,of,the,True
802,and,the,operatlon,of,temlnal,operation,False
803,the,operatlon,of,temlnal,facllltles,of,True
804,operatlon,of,temlnal,facllltles,sn,terminal,True
805,of,temlnal,facllltles,sn,oll,facilities,False
806,temlnal,facllltles,sn,oll,transfer,in,False
807,facllltles,sn,oll,transfer,in,oil,True
808,sn,oll,transfer,in,member,transfer,True
809,oll,transfer,in,member,companles,in,True
810,transfer,in,member,companles,have,member,True
811,in,member,companles,have,no,companies,True
812,member,companles,have,no,objectlon,have,True
813,companles,have,no,objectlon,m,no,True
814,have,no,objectlon,m,the,objection,False
815,no,objectlon,m,the,since,to,False
816,objectlon,m,the,since,we,the,True
817,m,the,since,we,belleve,since,True
818,the,since,we,belleve,some,we,True
819,since,we,belleve,some,modlflcatlon,believe,False
820,we,belleve,some,modlflcatlon,mr,some,True
821,belleve,some,modlflcatlon,mr,necessary,modification,False
822,some,modlflcatlon,mr,necessary,to,is,True
823,modlflcatlon,mr,necessary,to,provlde,necessary,True
824,mr,necessary,to,provlde,for,to,True
825,necessary,to,provlde,for,approprlate,provide,False
826,to,provlde,for,approprlate,preserve,for,True
827,provlde,for,approprlate,preserve,unlfomlty,appropriate,False
828,for,approprlate,preserve,unlfomlty,hlth,preserve,True
829,approprlate,preserve,unlfomlty,hlth,present,uniformity,False
830,preserve,unlfomlty,hlth,present,regulatlons,with,False
831,unlfomlty,hlth,present,regulatlons,and,present,True
832,hlth,present,regulatlons,and,clarlfy,regulations,True
833,present,regulatlons,and,clarlfy,pntent,and,True
834,regulatlons,and,clarlfy,pntent,of,clarify,False
835,and,clarlfy,pntent,of,some,intent,False
836,clarlfy,pntent,of,some,of,of,True
837,pntent,of,some,of,the,some,True
838,of,some,of,the,our,of,True
839,some,of,the,our,comments,the,True
840,of,the,our,comments,were,our,True
841,the,our,comments,were,mltted,comments,True
842,our,comments,were,mltted,m,were,True
843,comments,were,mltted,m,the,mitted,True
844,were,mltted,m,the,coast,to,False
845,mltted,m,the,coast,guard,the,True
846,m,the,coast,guard,on,coast,True
847,the,coast,guard,on,february,guard,True
848,coast,guard,on,february,the,on,True
849,guard,on,february,the,interstate,february,True
850,on,february,the,interstate,comma,the,True
851,february,the,interstate,comma,cm,interstate,True
852,the,interstate,comma,cm,nsfslh,commerce,True
853,interstate,comma,cm,nsfslh,a,cma,True
854,comma,cm,nsfslh,a,modlfled,zyndoz,False
855,cm,nsfslh,a,modlfled,procedure,a,True
856,nsfslh,a,modlfled,procedure,en,modified,False
857,a,modlfled,procedure,en,response,procedure,True
858,modlfled,procedure,en,response,to,in,True
859,procedure,en,response,to,our,response,True
860,en,response,to,our,complalnt,to,True
861,response,to,our,complalnt,concernlng,our,True
862,to,our,complalnt,concernlng,deflclencles,complaint,False
863,our,complalnt,concernlng,deflclencles,ln,concerning,False
864,complalnt,concernlng,deflclencles,ln,the,deficiencies,False
865,concernlng,deflclencles,ln,the,tank,in,True
866,deflclencles,ln,the,tank,car,the,True
867,ln,the,tank,car,mlleage,tank,True
868,the,tank,car,mlleage,allowance,car,True
869,tank,car,mlleage,allowance,system,mileage,False
870,car,mlleage,allowance,system,adopted,allowance,True
871,mlleage,allowance,system,adopted,by,system,True
872,allowance,system,adopted,by,requestlng,adopted,True
873,system,adopted,by,requestlng,wrltten,by,True
874,adopted,by,requestlng,wrltten,comment,requesting,False
875,by,requestlng,wrltten,comment,by,written,True
876,requestlng,wrltten,comment,by,february,comment,True
877,wrltten,comment,by,february,that,by,True
878,comment,by,february,that,date,february,True
879,by,february,that,date,dld,that,True
880,february,that,date,dld,not,date,True
881,that,date,dld,not,allow,did,True
882,date,dld,not,allow,us,not,True
883,dld,not,allow,us,sufflclent,allow,True
884,not,allow,us,sufflclent,tune,us,True
885,allow,us,sufflclent,tune,and,sufficient,False
886,us,sufflclent,tune,and,our,time,True
887,sufflclent,tune,and,our,request,and,True
888,tune,and,our,request,we,our,True
889,and,our,request,we,may,request,True
890,our,request,we,may,ultlmately,we,True
891,request,we,may,ultlmately,request,may,True
892,we,may,ultlmately,request,oral,ultimately,False
893,may,ultlmately,request,oral,argument,request,True
894,ultlmately,request,oral,argument,fg,oral,True
895,request,oral,argument,fg,the,argument,True
896,oral,argument,fg,the,modlfled,if,False
897,argument,fg,the,modlfled,procedure,the,True
898,fg,the,modlfled,procedure,appears,modified,False
899,the,modlfled,procedure,appears,snadequate,procedure,True
900,modlfled,procedure,appears,snadequate,m,appears,True
901,procedure,appears,snadequate,m,sure,inadequate,False
902,appears,snadequate,m,sure,a,to,False
903,snadequate,m,sure,a,complete,sure,True
904,m,sure,a,complete,t,a,True
905,sure,a,complete,t,e,complete,True
906,a,complete,t,e,the,t,False
907,complete,t,e,the,tltle,f,False
908,t,e,the,tltle,of,the,True
909,e,the,tltle,of,the,title,False
910,the,tltle,of,the,newest,of,True
911,tltle,of,the,newest,flrst,the,True
912,of,the,newest,flrst,lssue,newest,True
913,the,newest,flrst,lssue,thls,first,True
914,newest,flrst,lssue,thls,publlcatlons,issue,False
915,flrst,lssue,thls,publlcatlons,last,this,True
916,lssue,thls,publlcatlons,last,issued,publications,False
917,thls,publlcatlons,last,issued,chemecology,last,True
918,publlcatlons,last,issued,chemecology,pu,issued,True
919,last,issued,chemecology,pu,edlted,chemecology,True
920,issued,chemecology,pu,edlted,by,is,False
921,chemecology,pu,edlted,by,james,edited,False
922,pu,edlted,by,james,manager,by,True
923,edlted,by,james,manager,of,james,True
924,by,james,manager,of,envlronmental,manager,True
925,james,manager,of,envlronmental,quallty,of,True
926,manager,of,envlronmental,quallty,and,environmental,True
927,of,envlronmental,quallty,and,ss,quality,True
928,envlronmental,quallty,and,ss,malled,and,True
929,quallty,and,ss,malled,to,is,True
930,and,ss,malled,to,some,mailed,True
931,ss,malled,to,some,nuno,to,True
932,malled,to,some,nuno,j,some,True
933,to,some,nuno,j,educational,rqlo,False
934,some,nuno,j,educational,the,x,False
935,nuno,j,educational,the,assoclatlon,educational,True
936,j,educational,the,assoclatlon,are,the,True
937,educational,the,assoclatlon,are,recent,association,True
938,the,assoclatlon,are,recent,and,are,True
939,assoclatlon,are,recent,and,future,recent,True
940,are,recent,and,future,projects,and,True
941,recent,and,future,projects,educatlonal,future,True
942,and,future,projects,educatlonal,projects,projects,True
943,future,projects,educatlonal,projects,and,educational,False
944,projects,educatlonal,projects,and,the,projects,True
945,educatlonal,projects,and,the,initial,and,True
946,projects,and,the,initial,dlstrlbutlon,the,True
947,and,the,initial,dlstrlbutlon,of,initial,True
948,the,initial,dlstrlbutlon,of,over,distribution,False
949,initial,dlstrlbutlon,of,over,drew,of,True
950,dlstrlbutlon,of,over,drew,excellent,over,True
